Uniq Id,Job Salary,Job Experience Required,Key Skills,Industry,Role
154," 1,75,000 - 3,75,000 PA. ",0 - 1 yrs, International BPO| Call Center| Non Voice Process| Customer Care| Calling| Domestic| inbound| voice process| international call center| BPO| KPO| LPO| Domestic BPO,"BPO, Call Centre, ITeS",Fresher
155, Not Disclosed by Recruiter ,7 - 10 yrs, Associate Manager / Manager Data Scientist,"Recruitment, Staffing",Product Development Manager
156, Not Disclosed by Recruiter ,2 - 6 yrs, Change management| Data management| Wealth management| Business analysis| Project management| operational risk management| Asset management| Financial services| Auditing| Business operations,"Banking, Financial Services, Broking",Business Analyst
157," 1,75,000 - 2,50,000 PA. ",0 - 1 yrs, BPO| Hiring| LPO| call center| KPO| Data Entry| bpo call center| Communication Skills| Backend| bpo fresher| Bpo Voice| chat| Domestic| Domestic BPO| bpo executive| international call center| International BPO,"BPO, Call Centre, ITeS",Fresher
158, Not Disclosed by Recruiter ,1 - 2 yrs, Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management,"IT-Software, Software Services",Associate/Senior Associate -(Technical)
159," 1,00,000 - 3,50,000 PA. ",0 - 0 yrs, bpo| Inbound Process| Customer Service| Incentives| International Call Center| cce| inbound| Computer Operating| Calling| Voice Process| Non Voice| Data Entry| Customer Care Executive| Back Office| Telecalling| Customer Care| Domestic BPO| Chat,"Fresher, Trainee, Entry Level",Fresher
160, Not Disclosed by Recruiter ,3 - 6 yrs, Google Analytics| RDBMS| Analytical| Network security| Data Analyst| HTTP| System software| Data warehousing| SQL| Python,"IT-Software, Software Services",Business/EDP Analyst
161, Not Disclosed by Recruiter ,3 - 7 yrs, Japanese| Business process| Pharma| Aerospace| German| French| Spanish| Computer vision| Customer experience| Compliance,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
162, Not Disclosed by Recruiter ,5 - 8 yrs, Db2| IMS| Module| Project delivery| Entry level| Lead Administrator| Language skills| Application| Manager Technology,"IT-Software, Software Services",DBA
163, Not Disclosed by Recruiter ,10 - 18 yrs, data center| mcse| ccna| oem| pmp trained| UNIX| Linux| Servers| Network| Storage| Backup,"IT-Software, Software Services",Project Manager-IT/Software
164," 10,00,000 - 20,00,000 PA. ",5 - 10 yrs, data network| data networks| nexus| wan| cisco nexus| lan| cisco,Other,Other
165, Not Disclosed by Recruiter ,10 - 13 yrs, Data Science| SAS SQL| Secondary Research| Excel Powerpoint| Artificial Intelligence| Research Analysis| Advanced Analytics| Data Analysis| Team Leading| People Management| Primary Research| Python,"IT-Software, Software Services",Analytics Manager
166, Not Disclosed by Recruiter ,10 - 12 yrs, SSIS| SSRS| SQL Server| Power Bi| Data Modeling| Data Warehousing| Oracle| DW| Tableau| QlikView,"IT-Software, Software Services",Technical Architect
167, Not Disclosed by Recruiter ,3 - 5 yrs, java| hadoop| hive| j2ee| spring boot| mockito| hbase| pig| junit| microservices| sql| Git| Jenkins,"IT-Software, Software Services",Software Developer
168, Not Disclosed by Recruiter ,3 - 5 yrs, cisco| IMS| RCA| Trend analysis| Subject matter expertise| Hardware troubleshooting| Customer satisfaction| Senior Administrator| Effort estimation| Training,"IT-Software, Software Services",System Administrator
169, Not Disclosed by Recruiter, 1 - 6 Years,Business process|Data migration|SAP|Networking|Master data management|Manager Technology|Outsourcing|Oracle|Operations,IT-Software / Software Services,Software Developer
170, Not Disclosed by Recruiter ,0 - 1 yrs, Pharma| Book Keeping| Auditing,"IT-Software, Software Services",Fresher
171, Not Disclosed by Recruiter ,2 - 7 yrs, Data Scientist,"IT-Software, Software Services",Team Lead/Technical Lead
172, Not Disclosed by Recruiter ,4 - 9 yrs, SQL| Senior| Oracle| Performance tuning| server| development| SAP| development testing| Database design| testing| Indesign| database| design| Design development| developer| Indexing| architecture,"IT-Software, Software Services",Software Developer
173, Not Disclosed by Recruiter ,5 - 10 yrs, hive| sqoop| mapreduce| hadoop| pig| big data| hbase| spark,"IT-Software, Software Services",Team Lead/Technical Lead
174, Not Disclosed by Recruiter ,2 - 7 yrs, Data Analysis| Data Mining| Analytics| Advanced Excel,"Shipping, Marine",Data Analyst
175, Not Disclosed by Recruiter ,5 - 8 yrs, Performance tuning| Service| Consulting| Oracle RAC| Trend analysis| English language| Customer satisfaction| Vmware Administrator| Effort estimation| Lead Administrator,"IT-Software, Software Services",DBA
176, Not Disclosed by Recruiter ,4 - 6 yrs, Administrator| Network| LAN| WAN| Windows| Servers| SQL,"IT-Software, Software Services",System Administrator
177, Not Disclosed by Recruiter ,3 - 7 yrs, Networking| Oracle| Troubleshooting| Performance tuning| Network administration| FTP| Release management| RMAN| Monitoring| Auditing,"IT-Software, Software Services",Software Developer
178," 20,00,000 - 25,00,000 PA. ",5 - 10 yrs, Jenkins| Java| Hadoop| Javascript| JSON| Bash| Spark| Groovy| Play Framework| Python,"IT-Software, Software Services",Data Analyst
179, Not Disclosed by Recruiter ,8 - 12 yrs, NLP| SAS| Data Management| Data Analytics| Statistics| Machine Learning| Analytics| Business Analysis| Predictive Analytics,"Banking, Financial Services, Broking",Analytics Manager
180, Not Disclosed by Recruiter ,6 - 11 yrs, High Availability| Windows Server| Disaster Recovery| Restore| Active Directory| MySQL Database Administration| MS SQL| NoSQL| MySQL| HA| MongoDB| AWS,"IT-Software, Software Services",Team Lead/Technical Lead
181, Not Disclosed by Recruiter ,3 - 7 yrs, Unix| Load testing| Software development life cycle| Scrum| Selenium| Test cases| software quality| Teradata| Continuous improvement| big data,"IT-Software, Software Services",Quality Assurance/Quality Control Executive
182," 7,50,000 - 9,00,000 PA. ",0 - 5 yrs, Python| Machine Learning,"IT-Software, Software Services",Trainee
183," 15,00,000 - 30,00,000 PA. ",7 - 12 yrs, nlp| data science,"IT-Software, Software Services",Software Developer
184, Not Disclosed by Recruiter ,2 - 6 yrs, Data Validation| Data Management| Data Analysis,"Telcom, ISP",Other
185, Not Disclosed by Recruiter ,5 - 8 yrs, advanced analytics| r| python| data analysis| neural networks| machine learning,"IT-Software, Software Services",Software Developer
186, Not Disclosed by Recruiter ,1 - 4 yrs, Data validation| Excel| MIS| MS Word| Recruitment| Data Entry Executive,"IT-Software, Software Services",Stenographer/Data Entry Operator
187, Not Disclosed by Recruiter ,2 - 7 yrs, Java| Maven| Hibernate| Design Patterns| J2Ee| JEE| JMS| Rest| Algorithms| Spring Framework| JPA,"IT-Software, Software Services",Software Developer
188, Not Disclosed by Recruiter ,1 - 4 yrs, new projects| operations management| mis preparation| data analysis| mis reporting| formulas| pivot table| vlookup| warehouse| excel powerpoint| vba| mis| supply chain management| database analyst| bpo operations,"BPO, Call Centre, ITeS",Associate/Senior Associate -(Technical)
189, Not Disclosed by Recruiter ,2 - 4 yrs, Unix| Linux| Datastage| Oracle database| Data warehousing| Oracle SQL,"IT-Software, Software Services",Software Developer
190, Not Disclosed by Recruiter ,2 - 5 yrs, MongoDB| Unix| Linux| MySQL| Informatica| UML| Datastage| Python| Data structures| Data modeling,"IT-Software, Software Services",Software Developer
191, Not Disclosed by Recruiter ,3 - 5 yrs, C#| Ajax| Visual Studio| Web Services| .Net| MS SQL| Stored Procedures| Html5| Web Technologies| SQL Database| .Net Developer,"IT-Software, Software Services",Software Developer
192, Not Disclosed by Recruiter ,1 - 3 yrs, Predictive Modeling| Big Data Analytics| Hadoop| Spark| Predictive Analytics,"IT-Software, Software Services",Datawarehousing Technician
193, Not Disclosed by Recruiter ,3 - 5 yrs, activemq| GIT| Analytical| MySQL| Data structures| MongoDB| Analytics| SQL| Python| Technical documentation,"Advertising, PR, MR, Event Management",Software Developer
194, Not Disclosed by Recruiter ,3 - 5 yrs, Python| Six Sigma| PMP| .NET| HTML| JavaScript| SQL| Oracle| assembly language| Real Time Operating Systems,"IT-Software, Software Services",Technical Architect
195, Not Disclosed by Recruiter ,5 - 7 yrs, SQL| Java| Python| R| Software Development| VBA| Advanced Excel| Data Analytics| C#| Predictive Modeling,"IT-Software, Software Services",System Analyst
196, Not Disclosed by Recruiter ,5 - 10 yrs, Ubuntu| Linux| Docker| Datacenter| System Administration| OpenStack| RHEL| CentOS,"IT-Software, Software Services",Software Developer
197, Not Disclosed by Recruiter ,5 - 7 yrs, SQL| Automation| Python| Agile| System administration| Monitoring| Customer support| Computer science| Machine learning| Analytical,"IT-Software, Software Services",Software Developer
198, Not Disclosed by Recruiter ,4 - 6 yrs, R| SAS| GCP| Cloud| Big Data| Machine Learning| AWS| Python,"IT-Software, Software Services",Data Analyst
199, Not Disclosed by Recruiter ,8 - 13 yrs, quality processes| data warehouse| large| enterprise| procedures| data architecture| designing,"Recruitment, Staffing",Database Architect/Designer
200, Not Disclosed by Recruiter ,6 - 10 yrs, Apache| Linux| PHP| development| technical| software| Social media| developing| HBase| nosql| cloud| scripting| project support| RDBMS| design| developer| hadoop| Open source| Ruby| Pentaho| support| architecture| applications| hardware,"IT-Software, Software Services",Software Developer
201, Not Disclosed by Recruiter ,1 - 3 yrs, Excel| Data management| EMEA| Project management| Data quality| Application development| Informatica| SQL| Cdo| data profiling,"Banking, Financial Services, Broking",Database Architect/Designer
202, Not Disclosed by Recruiter ,4 - 8 yrs, Check Point| Cisco| Palo Alto,"IT-Software, Software Services",System Security
203," 1,00,000 - 1,25,000 PA. ",1 - 2 yrs, Data Entry Operation| Typing| computer operator| back office| backend,Insurance,Stenographer/Data Entry Operator
204, Not Disclosed by Recruiter ,2 - 5 yrs, Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls| Vendor Management| Asset Management,"Education, Teaching, Training",Associate/Senior Associate -(NonTechnical)
205, Not Disclosed by Recruiter ,6 - 8 yrs, data security,Other,Other
206, Not Disclosed by Recruiter ,5 - 7 yrs, Java| C++| C#| Machine Learning| Solution Architect| Hadoop| Data Analyst,"IT-Software, Software Services",Database Architect/Designer
207, Not Disclosed by Recruiter, 15 - 20 Years,R|SAS|Data Analysis|Big Data|Data Collection|Data Modeling|Data Architecture|Data Analytics|ETL|Data Governance,IT-Software / Software Services,Technical Architect
208," 1,50,000 - 2,75,000 PA. ",0 - 1 yrs, BPO| Data Entry Operation| Cce| Inbound| Calling| Domestic| Night Shift| international bpo| bpo fresher| domestic bpo| telecaller| tele marketing executive| tele calling executive| BPO Hiring| bpo recruitment,"BPO, Call Centre, ITeS",Fresher
209, Not Disclosed by Recruiter ,0 - 1 yrs, Usage,"Travel , Hotels , Restaurants , Airlines , Railways",Fresher
210, Not Disclosed by Recruiter ,2 - 5 yrs, Computer science| Capacity management| Machine learning| Agile| Data mining| MATLAB| Monitoring| Financial services| SQL| Python,"Banking, Financial Services, Broking",Head/VP/GM-Technology(IT)/CTO
211, Not Disclosed by Recruiter ,15 - 18 yrs, Telecom| Senior management| Networking| sales enablement| Flex| Database| Data analytics| Executive search| Key account management,"Recruitment, Staffing",Head/VP/GM/National Manager -Sales
212, Not Disclosed by Recruiter ,2 - 3 yrs, PLM| Production engineering| Process improvement| Data Analyst| Product data management| Siemens| Interpersonal skills| Excel| ERP system| Product life cycle management,"Semiconductors, Electronics",Assistant Manager/Manager-(NonTechnical)
213," 1,00,000 - 2,50,000 PA. ",0 - 3 yrs, voice| BPO| Bca| fresher| Backend| data analysis| Bba Fresher| english| book keeping| communication,"IT-Software, Software Services",Stenographer/Data Entry Operator
214, Not Disclosed by Recruiter ,4 - 7 yrs, Market research| Data analysis| SQL| Logistics| Ideas| Income tax| Tax returns| Data Analyst| Business Executive| Corporate tie-ups,"BPO, Call Centre, ITeS",Assistant Manager/Manager-(NonTechnical)
215, Not Disclosed by Recruiter ,5 - 10 yrs, C++| SAS| Python| Data analysis| Prototype| cassandra| Analytical| SPSS| data visualization| big data,"Banking, Financial Services, Broking",Software Developer
216," 2,00,000 - 5,00,000 PA. ",0 - 5 yrs, Hindi Typing| Typing| deo| fresher| data entry executive| data entry operator| English Typing| data entry| word| online data entry,"Recruitment, Staffing",Fresher
217," 3,00,000 - 8,00,000 PA. ",2 - 4 yrs, ssis| ssas| power bi| ms sql server| etl| data warehousing| reporting tools| database development| database design| database architect| talend,"IT-Software, Software Services",Software Developer
218, Not Disclosed by Recruiter ,5 - 8 yrs, Unix| Analytical skills| Linux| SQL database| spark| Machine learning| Hadoop| Oracle| big data| Python,"IT-Software, Software Services",Software Developer
219, Not Disclosed by Recruiter ,5 - 10 yrs, ERP| Team Building| Social media| Data analysis| Data mining| Ideas| MySQL| MS SQL| big data| Algorithms,"Media, Entertainment, Internet",Software Developer
220, Not Disclosed by Recruiter ,4 - 5 yrs, spring boot| Hibernate| Core Java| odata| Rest| jQuery| Web services| Javascript| J2Ee| JPA,"Banking, Financial Services, Broking",Sales Executive/Officer
221," 1,25,000 - 2,25,000 PA. ",0 - 1 yrs, Communication Skills| Selling Skills| Banking| Back Office| Financial Products| Data Entry,"Banking, Financial Services, Broking",Sales Executive/Officer
222, Not Disclosed by Recruiter ,3 - 6 yrs, PMP| Agile| Scrum| Product management| Machine learning| JIRA| Stakeholder management| RFP| Analytics| Automotive,"Automobile, Auto Anciliary, Auto Components",Program Manager
223, Not Disclosed by Recruiter ,12 - 14 yrs, database design| python| java| software development| NoSQL| automation testing| agile development| object oriented programming| aws| SDLC| Query optimization,"Telcom, ISP",Team Lead/Technical Lead
224, Not Disclosed by Recruiter ,4 - 9 yrs, Troubleshooting| Device installation| Firewall| Network Administrator,"IT-Software, Software Services",Training Manager
225, Not Disclosed by Recruiter ,7 - 9 yrs, Core Java| RDBMS| Coding| metadata| PAAS| developing| Data quality| HBase| messaging| NoSQL| java| apache| cassandra| SCALA| applications,"IT-Software, Software Services",Software Developer
226," 2,00,000 - 3,00,000 PA. ",0 - 2 yrs, Customer Service| Spoken English| customer support executive| US Shift| UK Shift| Email Process| customer support| customer care executive,Other,Other
227, Not Disclosed by Recruiter ,2 - 4 yrs, Business Intelligence| SSAS| Big Data| SQL Server| Informatica| SSIS| Data Analytics| ETL| AWS| SQL,"IT-Software, Software Services",Data Analyst
228, Not Disclosed by Recruiter ,10 - 15 yrs, Analytics| SQL| MS Office| Auditing| Financial services| Oracle| Data mining| Business operations| Asset management| Monitoring,"Banking, Financial Services, Broking",Clinical Research Associate/Scientist
229," 2,25,000 - 7,25,000 PA. ",0 - 5 yrs, computer operator| back office| back office executive| typewriting| Data Entry| English Writing| Computer| typing| Ms World| data entry operator| English Typing| Data Entry Operation,"Fresher, Trainee, Entry Level",Stenographer/Data Entry Operator
230," 1,25,000 - 6,00,000 PA. ",0 - 5 yrs, bpo| computer operator| back office| lpo| hr| kpo| call center| part time| data entry operation| fresher| front office| typing| online| data entry operator| non voice| data entry| freelancer| ms office,"BPO, Call Centre, ITeS",Fresher
231, Not Disclosed by Recruiter ,2 - 5 yrs, Supply chain| Excel| PDF| Database management| Analytical| Trend analysis| Data Analyst| Advanced Excel| Management| MS Office,"FMCG, Foods, Beverage",Associate/Senior Associate -(NonTechnical)
232, Not Disclosed by Recruiter ,0 - 4 yrs, digital marketing| css| it marketing| SEO Analyst| seo| SEO Expert,"Advertising, PR, MR, Event Management",Product Manager
233," 2,00,000 - 5,00,000 PA. ",0 - 5 yrs, freshers| data entry work,"Recruitment, Staffing",Fresher
234, Not Disclosed by Recruiter ,3 - 6 yrs, Counselor| Mentor| Trainer| Advisor| Teaching,"Education, Teaching, Training",Assistant Professor
235," 7,00,000 - 16,00,000 PA. ",5 - 10 yrs, Enovia,"IT-Software, Software Services",Software Developer
236, Not Disclosed by Recruiter ,2 - 5 yrs, T - SQL| SVN| MySQL| Database Development| GIT| RDBMS| MS SQL Server| Change Control| Technical Documentation| Control Testing| ssrs| SSIS| MSBI| Stored Procedures| Query Optimization| Indexing,"KPO, Research, Analytics",Database Architect/Designer
237, Not Disclosed by Recruiter ,3 - 8 yrs, Supply chain| Computer science| ERP| Linux| Data management| Data structures| Stored procedures| Macros| Analytics| SQL,"BPO, Call Centre, ITeS",Software Developer
238, Not Disclosed by Recruiter ,5 - 10 yrs, SQL| Business objects| Business intelligence| Application support| Open source| Remedy| Consulting| Change management| Auditing| SPSS,"Education, Teaching, Training",Business Analyst
239, Not Disclosed by Recruiter ,4 - 7 yrs, Excel| Data Analysis| Install Base,"IT-Software, Software Services",Software Developer
240, Not Disclosed by Recruiter ,6 - 9 yrs, R| Time Series Analysis| Text Analytics| SQL| Machine Learning| Natural Language Processing| Finance| Data Science| Python| Forecasting,"IT-Software, Software Services",Solution Architect / Enterprise Architect
241, Not Disclosed by Recruiter, 5 - 7 Years,meter data management|Billing|Manager Technology|Revenue management|Application Lead|Outsourcing|Oracle|Operations|Network management system,IT-Software / Software Services,Software Developer
242, Not Disclosed by Recruiter ,10 - 15 yrs, Business Intelligence| Azure| Data Architect| Hadoop| Big Data| OLAP| Data Warehousing| ETL| Solution Architect| CTO| Predictive Analytics,"IT-Software, Software Services",Technical Architect
243," 1,25,000 - 4,00,000 PA. ",0 - 5 yrs, bpo| international call center| bpo fresher| domestic bpo| call center| inbound| customer care| hindi| english| communication| non voice process| data entry| back office| non voice| fresher| telecalling| MS Office| ms excel| Tally ERP,"BPO, Call Centre, ITeS",Telecalling/Telemarketing Executive
244, Not Disclosed by Recruiter ,4 - 6 yrs, Data analysis| Data migration| Business analysis| Computer science| Business process| SAP implementation| Analytical| Back office| Data quality| Data extraction,"IT-Software, Software Services",Outside Technical Consultant
245, Not Disclosed by Recruiter ,2 - 7 yrs, Healthcare| Logistics| Outbound| Supply chain| Data entry| microsoft| Inventory control| Support services| Inventory| Cloud Services,"IT-Software, Software Services",Head/VP/GM/National Manager -Sales
246, Not Disclosed by Recruiter ,4 - 9 yrs, Core Java| JSON| Troubleshooting| Computer science| SOA| Analytical| SCALA| Hadoop| big data| GEL,"Banking, Financial Services, Broking",Software Developer
247, Not Disclosed by Recruiter ,7 - 10 yrs, Big Data| Presales| Data Warehousing| Data Analytics| AWS| RFP,"IT-Software, Software Services",Team Lead/Technical Lead
248, Not Disclosed by Recruiter ,8 - 10 yrs, Speech Recognition| NLP| OpenCV| Image Processing| Spark| Computer Vision| Machine Learning| Deep Learning| Python,"IT-Software, Software Services",DBA
249," 1,25,000 - 1,75,000 PA. ",0 - 1 yrs, Excel| Data Management| Data Analysis| Internet,"IT-Software, Software Services",Other
250, Not Disclosed by Recruiter, 6 - 8 Years,Consulting|Data management|Data quality|Outsourcing|Data architecture|Operations|Master data management|C|Application Lead|telco,IT-Software / Software Services,Team Lead/Technical Lead
251, Not Disclosed by Recruiter ,2 - 7 yrs, Data Quality| EPM| System Design| ODI| Informatica| SSIS| Project Life Cycle| Data Integration,"IT-Software, Software Services",Software Developer
252, Not Disclosed by Recruiter ,5 - 8 yrs, SAS| SQL| data science| python| Campaign management| technical| level| Business intelligence| tools| Supply chain| analytics| Business objects| database| optimization| Analytical| Consulting| design| SPSS| powerpoint,"IT-Software, Software Services",Software Developer
253, Not Disclosed by Recruiter ,7 - 12 yrs, Accessories| Data analysis| Google Analytics| Analytical| Machine learning| Data structures| Reporting tools| SQL| Logistics| Python,"Textiles, Garments, Accessories",Software Developer
254, Not Disclosed by Recruiter ,3 - 6 yrs, channel business| Database Administrator,"Textiles, Garments, Accessories",DBA
255, Not Disclosed by Recruiter, 1 - 5 Years,Business process|SAP|Web technologies|Technical design|data governance|Manager Technology|Ale|Outsourcing|Operations|Object oriented programming,IT-Software / Software Services,Software Developer
256, Not Disclosed by Recruiter ,7 - 9 yrs, development| dba| sql development| oracle| performance tuning| database administration| ocp,"Recruitment, Staffing",DBA
257, Not Disclosed by Recruiter ,8 - 10 yrs, Change management| Agile| SQL| Computer science| metadata| TOGAF| Analytical| data governance| Data quality| Data architecture,"Education, Teaching, Training",Database Architect/Designer
258, Not Disclosed by Recruiter ,5 - 8 yrs, Storage| Networking| System Administration| Network Administration| Hardware| Data Center Infrastructure| Windows| IT Management| Virtualization| HP Data Protector,"Medical, Healthcare, Hospitals",System Administrator
259, Not Disclosed by Recruiter ,5 - 8 yrs, Performance tuning| Consulting| Trend analysis| Customer satisfaction| Customer management| Lead Administrator| Effort estimation| Database Administrator| Oracle admin| Vmware Administrator,"IT-Software, Software Services",DBA
260, Not Disclosed by Recruiter ,5 - 10 yrs, Machine Learning| Data Mining| Big Data| Data Science| Python| Data Management| Artificial Intelligence,"KPO, Research, Analytics",Data Analyst
261, Not Disclosed by Recruiter, 2 - 5 Years,Oracle|Billing|Business process|Outsourcing|Operations|meter data management|Network management system|Revenue management|Manager Technology,IT-Software / Software Services,Software Developer
262, Not Disclosed by Recruiter ,7 - 11 yrs, Oracle| SQL Server| DB2| Sybase| DB| deployment,"IT-Software, Software Services",Software Developer
263, Not Disclosed by Recruiter ,2 - 7 yrs, Engineering services| PLM| ERP| Product engineering| Web services| Staffing| Project management| Consulting| Outsourcing| Software services,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
264, Not Disclosed by Recruiter ,2 - 4 yrs, Automation| Payroll| Application testing| Linux kernel| Debugging| Test cases| Open source| Virtualization| Python| Testing,"IT-Software, Software Services",Testing Engineer
265," INR 3,00,000 - 7,00,000 PA.", 3 - 6 Years,python|Big Data Analytics|data analytics|Cognos BI|data modeling|Data Analysis|data visualization|ssis|sql,BPO / Call Centre / ITES,Business Analyst
266, Not Disclosed by Recruiter ,3 - 8 yrs, data science| Machine learning| Programming| Data quality| data visualization| big data| Statistics| SQL| Python,"Banking, Financial Services, Broking",Bio-Statistician
267, Not Disclosed by Recruiter ,5 - 10 yrs, Database Analyst,"IT-Software, Software Services",Fresher
268, Not Disclosed by Recruiter ,2 - 5 yrs, Machine learning| Data mining| Principal component analysis| Statistical analysis| Factor analysis| Time series analysis| Arima| Finance| Statistics,"IT-Software, Software Services",Team Lead/Technical Lead
269, Not Disclosed by Recruiter ,2 - 5 yrs, SQL| Python| Data structures| Graphics| Data analysis| QlikView| metadata| Data conversion| SCALA| Archiving,"Recruitment, Staffing",Team Lead/Technical Lead
270, Not Disclosed by Recruiter ,4 - 6 yrs, data management| teradata developer| teradata| testing,"IT-Software, Software Services",Software Developer
271, Not Disclosed by Recruiter ,1 - 4 yrs, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,"Recruitment, Staffing",Associate/Senior Associate -(NonTechnical)
272, Not Disclosed by Recruiter ,8 - 13 yrs, Performance tuning| Core Java| Data modeling| Coding| Scheduling| Agile methodology| Teradata| Distribution system| Financial services| SQL,"Internet, Ecommerce",Team Lead/Technical Lead
273," 6,00,000 - 15,00,000 PA. ",4 - 8 yrs, Akka| Play Framework| Web Services| Docker| NoSQL| SCALA| Web Technologies,"IT-Software, Software Services",Software Developer
274, Not Disclosed by Recruiter ,5 - 7 yrs, Database Administration| Shell Scripting| Database Design| Master Data Management| OLAP| Disaster Recovery| Data Warehousing| Teradata DBA| ETL| Data Governance,"IT-Software, Software Services",Team Lead/Technical Lead
275," 14,00,000 - 15,00,000 PA. ",5 - 10 yrs, project management| data management| md microbiology| customer service| customer focus| clinical data| mbbs| md pathology| trend analysis| md pharmacology,"Pharma, Biotech, Clinical Research",Clinical Research Manager
276, Not Disclosed by Recruiter ,8 - 13 yrs, cloudera| python| Hive| mapreduce| spark| scala| Hadoop| hdfs| core java,"IT-Software, Software Services",Team Lead/Technical Lead
277, Not Disclosed by Recruiter ,4 - 7 yrs, Forms| ERP| Textile| IT| ERP System| Software Development| Visual Basic| IT Manager| sql 2008| Database| MS SQL Server| IT Management,"IT-Software, Software Services",Software Developer
278, Not Disclosed by Recruiter ,5 - 7 yrs, Data Science| Java| R| SAS| Scala| Statistical Modeling| PhD| Machine Learning| Python,"IT-Software, Software Services",Database Architect/Designer
279, Not Disclosed by Recruiter ,2 - 5 yrs, Product Management| Marketing Campaigns| Digital Marketing| Data Analyst| Digital Analytics| Deep Learning| R| Sales| Excel| Data Analysis| Data Modeling| Consumer Insights| Python,"Internet, Ecommerce",Manager - Market Research / Consumer Insights / Industry Analysis
280, Not Disclosed by Recruiter ,1 - 2 yrs, Computer Operator| Data Entry Operator,"Recruitment, Staffing",Stenographer/Data Entry Operator
281, Not Disclosed by Recruiter ,10 - 15 yrs, data science| Unix| HTML| Perl| Android| Shell scripting| Data modeling| RDBMS| Stored procedures| Analytics,"Medical, Healthcare, Hospitals",Software Developer
282," 13,00,000 - 20,00,000 PA. ",5 - 10 yrs, analytics reporting| R| data analytics| SAS| operational risk| data visualization| Machine Learning| SQL,"Banking, Financial Services, Broking",Head/VP/GM - Analytics & BI
283," 1,75,000 - 2,25,000 PA. ",1 - 3 yrs, Word| Advanced Excel| Data Processing| data entry,"Courier, Transportation, Freight , Warehousing",Other
284, Not Disclosed by Recruiter ,2 - 7 yrs, Analytics| SQL| Coding| Analytical| Data collection| Computer science| PDF| data integrity| Python| Interpersonal skills,"Media, Entertainment, Internet",System Administrator
285, Not Disclosed by Recruiter ,6 - 11 yrs, Spark,"IT-Software, Software Services",Software Developer
286, Not Disclosed by Recruiter ,8 - 12 yrs, Analytics| Machine learning| Artificial Intelligence| Data modeling| data science| Software solutions| Technical Lead,"IT-Software, Software Services",Team Lead/Technical Lead
287, Not Disclosed by Recruiter ,2 - 6 yrs, Networking| Apache| SQL| development| Hadoop| Architectural design| tools| cloud| java| Coding| Open source| big data| Virtualization| programming| Testing,"IT-Software, Software Services",Software Developer
288," 50,000 - 1,50,000 PA. ",1 - 2 yrs, Excel| Data Entry Operation,"Telcom, ISP",Other
289, Not Disclosed by Recruiter ,4 - 5 yrs, Data analysis| SQL| Advanced Excel| Root cause analysis| Excel| MS Access| Data Analyst| Python| Database| VBA,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
290, Not Disclosed by Recruiter ,3 - 7 yrs, SQL| Automation| Data modeling| Scrum| OLAP| Manager Quality Control| Computer science| Machine learning| metadata| Forecasting,"IT-Software, Software Services",Software Developer
291," 1,25,000 - 3,25,000 PA. ",0 - 2 yrs, computer operator| back office| Part Time| Data Entry Operator| typing| backend| English Typing| Freelancing| data entry,"Fresher, Trainee, Entry Level",Stenographer/Data Entry Operator
292," 2,00,000 - 3,00,000 PA. ",0 - 0 yrs, Data Science| Machine Learning,"IT-Software, Software Services",Software Developer
293, Not Disclosed by Recruiter ,2 - 5 yrs, MS Office| US healthcare| Powerpoint| Subject Matter Expert| professional services| Typing speed| Basic| Management,"IT-Software, Software Services",Associate/Senior Associate -(NonTechnical)
294, Not Disclosed by Recruiter ,2 - 6 yrs, Business intelligence| Data analysis| Data migration| Monitoring| Auditing| DBMS| SQL Tuning| Data quality| Information management| data mapping,"IT-Software, Software Services",Database Architect/Designer
295, Not Disclosed by Recruiter ,6 - 11 yrs, WAN| cisco| SSL| Monitoring| Intranet| Websense| ASR| Local area network| Workforce management| Quality management,"IT-Software, Software Services",Network Administrator
296, Not Disclosed by Recruiter ,6 - 10 yrs, GIT| Stored Procedures| Shell Scripting| Ubuntu Linux| MySQL| SQL Queries| SVN| Version Control| Bash| AWS,"IT-Software, Software Services",DBA
297, Not Disclosed by Recruiter ,4 - 9 yrs, J2Ee| Unix| Hibernate| Python| Performance tuning| Coding| Debugging| Agile methodology| Architectural design| big data,"Recruitment, Staffing",Software Developer
298, Not Disclosed by Recruiter ,6 - 8 yrs, data analysis| Customer Service| Help Desk| Information| Telephony support| customer relationship| access controls,"IT-Software, Software Services",Operations Manager
299, Not Disclosed by Recruiter ,2 - 5 yrs, front end,"IT-Software, Software Services",Other
300, Not Disclosed by Recruiter ,5 - 10 yrs, Fire Alarm System| Communication Protocols| Data Center Management| Data Analysis| Data Center Infrastructure| Maintenance Activities,"Telcom, ISP",Other
301, Not Disclosed by Recruiter ,1 - 5 yrs, toxicology| English| French| Word| Chemical| Microbiology| German| Biochemistry| Spanish,"Banking, Financial Services, Broking",Associate/Senior Associate -(NonTechnical)
